seconds,x,z,yaw_radians,speed_mps,distance_m,step_distance_m
0.75,-4.89154,-3.59235,-2.87982,0.899999,0.421832,0.0149999
0.766667,-4.88769,-3.57785,-2.87975,0.899999,0.436832,0.0149999
0.783333,-4.88383,-3.56336,-2.87969,0.899998,0.451832,0.0149999
0.8,-4.87997,-3.54886,-2.87962,0.899998,0.466832,0.0149999
0.816667,-4.87612,-3.53437,-2.87956,0.899998,0.481832,0.0149999
0.833333,-4.87226,-3.51987,-2.8795,0.899998,0.496832,0.0149999
0.85,-4.8684,-3.50538,-2.87943,0.899998,0.511832,0.0149999
0.866667,-4.86455,-3.49088,-2.87937,0.899998,0.526832,0.0149999
0.883333,-4.86069,-3.47638,-2.8793,0.899998,0.541831,0.0149999
0.9,-4.85683,-3.46189,-2.87924,0.899998,0.556831,0.0149999
0.916667,-4.85298,-3.44739,-2.87917,0.899997,0.571831,0.0149999
0.933333,-4.84912,-3.4329,-2.87911,0.899997,0.586831,0.0149999
0.95,-4.84526,-3.4184,-2.87905,0.899997,0.601831,0.0149999
0.966667,-4.84141,-3.40391,-2.87898,0.899997,0.616831,0.0149999
0.983333,-4.83755,-3.38941,-2.87892,0.899997,0.631831,0.0149999
1,-4.83369,-3.37491,-2.87885,0.899997,0.64683,0.0149999
1.01667,-4.82984,-3.36042,-2.87879,0.899997,0.66183,0.0149999
1.03333,-4.82598,-3.34592,-2.87872,0.899996,0.67683,0.0149999
1.05,-4.82212,-3.33143,-2.87866,0.899996,0.69183,0.0149999
1.06667,-4.81827,-3.31693,-2.8786,0.899996,0.70683,0.0149999
1.08333,-4.81441,-3.30244,-2.87853,0.899996,0.72183,0.0149999
1.1,-4.81055,-3.28794,-2.87847,0.899996,0.73683,0.0149999
1.11667,-4.8067,-3.27345,-2.8784,0.899995,0.75183,0.0149999
1.13333,-4.80284,-3.25895,-2.87834,0.899995,0.766829,0.0149999
1.15,-4.79898,-3.24445,-2.87827,0.899995,0.781829,0.0149999
1.16667,-4.79513,-3.22996,-2.87821,0.899995,0.796829,0.0149999
1.18333,-4.79127,-3.21546,-2.87815,0.899995,0.811829,0.0149999
1.2,-4.78741,-3.20097,-2.87808,0.899994,0.826829,0.0149999
1.21667,-4.78356,-3.18647,-2.87802,0.899994,0.841829,0.0149999
1.23333,-4.7797,-3.17198,-2.87795,0.899994,0.856829,0.0149999
1.25,-4.77584,-3.15748,-2.87789,0.899994,0.871828,0.0149999
1.26667,-4.77199,-3.14299,-2.87782,0.899994,0.886828,0.0149999
1.28333,-4.76813,-3.12849,-2.87776,0.899993,0.901828,0.0149999
1.3,-4.76427,-3.11399,-2.8777,0.899993,0.916828,0.0149999
1.31667,-4.76042,-3.0995,-2.87763,0.899993,0.931828,0.0149999
1.33333,-4.75656,-3.085,-2.87757,0.899993,0.946828,0.0149999
1.35,-4.7527,-3.07051,-2.8775,0.899993,0.961828,0.0149999
1.36667,-4.74885,-3.05601,-2.87744,0.899992,0.976828,0.0149999
1.38333,-4.74499,-3.04152,-2.87737,0.899992,0.991827,0.0149999
1.4,-4.74113,-3.02702,-2.87731,0.899992,1.00683,0.0149999
1.41667,-4.73728,-3.01252,-2.87725,0.899992,1.02183,0.0149999
1.43333,-4.73342,-2.99803,-2.87718,0.899991,1.03683,0.0149999
1.45,-4.72956,-2.98353,-2.87712,0.899991,1.05183,0.0149999
1.46667,-4.72571,-2.96904,-2.87705,0.899991,1.06683,0.0149999
1.48333,-4.72185,-2.95454,-2.87699,0.899991,1.08183,0.0149999
1.5,-4.71799,-2.94005,-2.87692,0.89999,1.09683,0.0149999
1.51667,-4.71414,-2.92555,-2.87686,0.89999,1.11183,0.0149999
1.53333,-4.71028,-2.91106,-2.8768,0.89999,1.12683,0.0149999
1.55,-4.70642,-2.89656,-2.87673,0.899989,1.14183,0.0149999
1.56667,-4.70257,-2.88206,-2.87667,0.899989,1.15683,0.0149999
1.58333,-4.69871,-2.86757,-2.8766,0.899989,1.17183,0.0149999
1.6,-4.69485,-2.85307,-2.87654,0.899989,1.18683,0.0149999
1.61667,-4.691,-2.83858,-2.87647,0.899988,1.20183,0.0149999
1.63333,-4.68714,-2.82408,-2.87641,0.899988,1.21683,0.0149999
1.65,-4.68328,-2.80959,-2.87634,0.899988,1.23183,0.0149999
1.66667,-4.67943,-2.79509,-2.87628,0.899987,1.24683,0.0149999
1.68333,-4.67557,-2.78059,-2.87622,0.899987,1.26182,0.0149999
1.7,-4.67171,-2.7661,-2.87615,0.899987,1.27682,0.0149999
1.71667,-4.66786,-2.7516,-2.87609,0.899987,1.29182,0.0149999
1.73333,-4.664,-2.73711,-2.87602,0.899986,1.30682,0.0149999
1.75,-4.66014,-2.72261,-2.87596,0.899986,1.32182,0.0149999
1.76667,-4.65629,-2.70812,-2.8759,0.899986,1.33682,0.0149999
1.78333,-4.65243,-2.69362,-2.87583,0.899985,1.35182,0.0149999
1.8,-4.64857,-2.67913,-2.87577,0.899985,1.36682,0.0149997
1.81667,-4.64472,-2.66463,-2.8757,0.899985,1.38182,0.0149997
1.83333,-4.64086,-2.65014,-2.87564,0.899984,1.39682,0.0149997
1.85,-4.637,-2.63564,-2.87557,0.899984,1.41182,0.0149997
1.86667,-4.63315,-2.62114,-2.87551,0.899984,1.42682,0.0149997
1.88333,-4.62929,-2.60665,-2.87544,0.899983,1.44182,0.0149997
1.9,-4.62543,-2.59215,-2.87538,0.899983,1.45682,0.0149997
1.91667,-4.62158,-2.57766,-2.87532,0.899982,1.47182,0.0149997
1.93333,-4.61772,-2.56316,-2.87525,0.899982,1.48682,0.0149997
1.95,-4.61386,-2.54867,-2.87519,0.899982,1.50182,0.0149997
1.96667,-4.61001,-2.53417,-2.87512,0.899981,1.51682,0.0149997
1.98333,-4.60615,-2.51968,-2.87506,0.899981,1.53182,0.0149997
2,-4.60229,-2.50518,-2.87499,0.899981,1.54682,0.0149997
2.01667,-4.59844,-2.49069,-2.87493,0.89998,1.56182,0.0149997
2.03333,-4.59458,-2.47619,-2.87487,0.89998,1.57682,0.0149997
2.05,-4.59072,-2.4617,-2.8748,0.899979,1.59182,0.0149997
2.06667,-4.58687,-2.4472,-2.87474,0.899979,1.60682,0.0149997
2.08333,-4.58301,-2.4327,-2.87467,0.899979,1.62182,0.0149997
2.1,-4.57915,-2.41821,-2.87461,0.899978,1.63682,0.0149997
2.11667,-4.5753,-2.40371,-2.87454,0.899978,1.65182,0.0149997
2.13333,-4.57144,-2.38922,-2.87448,0.899977,1.66682,0.0149997
2.15,-4.56758,-2.37472,-2.87442,0.899977,1.68182,0.0149997
2.16667,-4.56373,-2.36023,-2.87435,0.899977,1.69682,0.0149997
2.18333,-4.55987,-2.34573,-2.87429,0.899976,1.71182,0.0149997
2.2,-4.55601,-2.33124,-2.87422,0.899976,1.72681,0.0149997
2.21667,-4.55216,-2.31674,-2.87416,0.899975,1.74181,0.0149997
2.23333,-4.5483,-2.30225,-2.87409,0.899975,1.75681,0.0149997
2.25,-4.54444,-2.28775,-2.87403,0.899974,1.77181,0.0149997
2.26667,-4.54059,-2.27326,-2.87397,0.899974,1.78681,0.0149997
2.28333,-4.53673,-2.25876,-2.8739,0.899974,1.80181,0.0149997
2.3,-4.53287,-2.24426,-2.87384,0.899973,1.81681,0.0149997
2.31667,-4.52902,-2.22977,-2.87377,0.899973,1.83181,0.0149997
2.33333,-4.52516,-2.21527,-2.87371,0.899972,1.84681,0.0149997
2.35,-4.5213,-2.20078,-2.87364,0.899972,1.86181,0.0149997
2.36667,-4.51745,-2.18628,-2.87358,0.899971,1.87681,0.0149997
2.38333,-4.51359,-2.17179,-2.87352,0.899971,1.89181,0.0149997
2.4,-4.50973,-2.15729,-2.87345,0.89997,1.90681,0.0149997
2.41667,-4.50588,-2.1428,-2.87339,0.89997,1.92181,0.0149997
2.43333,-4.50202,-2.1283,-2.87332,0.899969,1.93681,0.0149994
2.45,-4.49816,-2.11381,-2.87326,0.899969,1.95181,0.0149994
2.46667,-4.49431,-2.09931,-2.87319,0.899969,1.96681,0.0149994
2.48333,-4.49045,-2.08482,-2.87313,0.899968,1.98181,0.0149994
2.5,-4.48659,-2.07032,-2.87307,0.899967,1.99681,0.0149994
2.51667,-4.48274,-2.05583,-2.873,0.899967,2.01181,0.0149994
2.53333,-4.47888,-2.04133,-2.87294,0.899966,2.02681,0.0149994
2.55,-4.47502,-2.02684,-2.87287,0.899966,2.04181,0.0149994
2.56667,-4.47117,-2.01234,-2.87281,0.899965,2.0568,0.0149994
2.58333,-4.46731,-1.99785,-2.87274,0.899965,2.0718,0.0149994
2.6,-4.46345,-1.98335,-2.87268,0.899964,2.0868,0.0149994
2.61667,-4.4596,-1.96886,-2.87262,0.899964,2.1018,0.0149994
2.63333,-4.45574,-1.95436,-2.87255,0.899963,2.1168,0.0149994
2.65,-4.45188,-1.93987,-2.87249,0.899963,2.1318,0.0149994
2.66667,-4.44803,-1.92537,-2.87242,0.899962,2.1468,0.0149994
2.68333,-4.44417,-1.91087,-2.87236,0.899962,2.1618,0.0149994
2.7,-4.44031,-1.89638,-2.87229,0.899961,2.1768,0.0149994
2.71667,-4.43646,-1.88188,-2.87223,0.899961,2.1918,0.0149994
2.73333,-4.4326,-1.86739,-2.87217,0.89996,2.2068,0.0149994
2.75,-4.42874,-1.85289,-2.8721,0.89996,2.2218,0.0149994
2.76667,-4.42489,-1.8384,-2.87204,0.899959,2.2368,0.0149994
2.78333,-4.42103,-1.8239,-2.87197,0.899959,2.2518,0.0149994
2.8,-4.41717,-1.80941,-2.87191,0.899958,2.2668,0.0149993
2.81667,-4.41332,-1.79491,-2.87184,0.899957,2.2818,0.0149993
2.83333,-4.40946,-1.78042,-2.87178,0.899957,2.29679,0.0149993
2.85,-4.4056,-1.76592,-2.87172,0.899956,2.31179,0.0149993
2.86667,-4.40175,-1.75143,-2.87165,0.899956,2.32679,0.0149993
2.88333,-4.39789,-1.73693,-2.87159,0.899955,2.34179,0.0149993
2.9,-4.39403,-1.72244,-2.87152,0.899955,2.35679,0.0149993
2.91667,-4.39018,-1.70794,-2.87146,0.899954,2.37179,0.0149993
2.93333,-4.38632,-1.69345,-2.87139,0.899953,2.38679,0.0149992
2.95,-4.38246,-1.67895,-2.87133,0.899953,2.40179,0.0149992
2.96667,-4.37861,-1.66446,-2.87127,0.899952,2.41679,0.0149992
2.98333,-4.37475,-1.64996,-2.8712,0.899952,2.43179,0.0149992
3,-4.3709,-1.63547,-2.87114,0.899951,2.44679,0.0149992
3.01667,-4.36704,-1.62097,-2.87107,0.89995,2.46179,0.0149991
3.03333,-4.36318,-1.60648,-2.87101,0.89995,2.47679,0.0149991
3.05,-4.35933,-1.59198,-2.87094,0.899949,2.49179,0.0149991
3.06667,-4.35547,-1.57749,-2.87088,0.899949,2.50678,0.0149991
3.08333,-4.35161,-1.56299,-2.87082,0.899948,2.52178,0.0149991
3.1,-4.34776,-1.5485,-2.87075,0.899947,2.53678,0.0149991
3.11667,-4.3439,-1.534,-2.87069,0.899947,2.55178,0.0149991
3.13333,-4.34005,-1.51951,-2.87062,0.899946,2.56678,0.0149991
3.15,-4.33619,-1.50501,-2.87056,0.899945,2.58178,0.0149991
3.16667,-4.33233,-1.49052,-2.87049,0.899945,2.59678,0.0149991
3.18333,-4.32848,-1.47602,-2.87043,0.899944,2.61178,0.0149991
3.2,-4.32462,-1.46153,-2.87037,0.899944,2.62678,0.014999
3.21667,-4.32077,-1.44704,-2.8703,0.899943,2.64178,0.014999
3.23333,-4.31691,-1.43254,-2.87024,0.899942,2.65677,0.014999
3.25,-4.31305,-1.41805,-2.87017,0.899942,2.67177,0.014999
3.26667,-4.3092,-1.40355,-2.87011,0.899941,2.68677,0.014999
3.28333,-4.30534,-1.38906,-2.87004,0.89994,2.70177,0.014999
3.3,-4.30148,-1.37456,-2.86998,0.89994,2.71677,0.014999
3.31667,-4.29763,-1.36007,-2.86992,0.899939,2.73177,0.014999
3.33333,-4.29377,-1.34557,-2.86985,0.899938,2.74677,0.014999
3.35,-4.28992,-1.33108,-2.86979,0.899938,2.76177,0.014999
3.36667,-4.28606,-1.31658,-2.86972,0.899937,2.77677,0.014999
3.38333,-4.2822,-1.30209,-2.86966,0.899936,2.79177,0.0149988
3.4,-4.27835,-1.28759,-2.86959,0.899935,2.80676,0.0149988
3.41667,-4.27449,-1.2731,-2.86953,0.899935,2.82176,0.0149988
3.43333,-4.27064,-1.2586,-2.86947,0.899934,2.83676,0.0149988
3.45,-4.26678,-1.24411,-2.8694,0.899933,2.85176,0.0149988
3.46667,-4.26292,-1.22961,-2.86934,0.899933,2.86676,0.0149988
3.48333,-4.25907,-1.21512,-2.86927,0.899932,2.88176,0.0149988
3.5,-4.25521,-1.20063,-2.86921,0.899931,2.89676,0.0149988
3.51667,-4.25135,-1.18613,-2.86914,0.899931,2.91176,0.0149988
3.53333,-4.2475,-1.17164,-2.86908,0.89993,2.92676,0.0149988
3.55,-4.24364,-1.15714,-2.86901,0.899929,2.94175,0.0149987
3.56667,-4.23979,-1.14265,-2.86895,0.899928,2.95675,0.0149987
3.58333,-4.23593,-1.12815,-2.86889,0.899928,2.97175,0.0149987
3.6,-4.23207,-1.11366,-2.86882,0.899927,2.98675,0.0149987
3.61667,-4.22822,-1.09916,-2.86876,0.899926,3.00175,0.0149987
3.63333,-4.22436,-1.08467,-2.86869,0.899925,3.01675,0.0149987
3.65,-4.2205,-1.07017,-2.86863,0.899925,3.03175,0.0149987
3.66667,-4.21665,-1.05568,-2.86856,0.899924,3.04674,0.0149987
3.68333,-4.21279,-1.04119,-2.8685,0.899923,3.06174,0.0149987
3.7,-4.20894,-1.02669,-2.86844,0.899922,3.07674,0.0149987
3.71667,-4.20508,-1.0122,-2.86837,0.899922,3.09174,0.0149986
3.73333,-4.20122,-0.997702,-2.86831,0.899921,3.10674,0.0149987
3.75,-4.19737,-0.983207,-2.86824,0.89992,3.12174,0.0149987
3.76667,-4.19351,-0.968713,-2.86818,0.899919,3.13674,0.0149986
3.78333,-4.18966,-0.954218,-2.86811,0.899919,3.15174,0.0149986
3.8,-4.1858,-0.939724,-2.86805,0.899918,3.16673,0.0149986
3.81667,-4.18194,-0.925229,-2.86799,0.899917,3.18173,0.0149986
3.83333,-4.17809,-0.910735,-2.86792,0.899916,3.19673,0.0149986
3.85,-4.17423,-0.896241,-2.86786,0.899916,3.21173,0.0149986
3.86667,-4.17037,-0.881746,-2.86779,0.899915,3.22673,0.0149986
3.88333,-4.16652,-0.867252,-2.86773,0.899914,3.24173,0.0149986
3.9,-4.16266,-0.852758,-2.86766,0.899913,3.25673,0.0149986
3.91667,-4.15881,-0.838263,-2.8676,0.899912,3.27172,0.0149985
3.93333,-4.15495,-0.823769,-2.86754,0.899911,3.28672,0.0149985
3.95,-4.15109,-0.809275,-2.86747,0.899911,3.30172,0.0149985
3.96667,-4.14724,-0.79478,-2.86741,0.89991,3.31672,0.0149985
3.98333,-4.14338,-0.780286,-2.86734,0.899909,3.33172,0.0149984
4,-4.13952,-0.765792,-2.86728,0.899908,3.34672,0.0149984
4.01667,-4.13567,-0.751298,-2.86721,0.899907,3.36171,0.0149984
4.03333,-4.13181,-0.736803,-2.86715,0.899907,3.37671,0.0149984
4.05,-4.12796,-0.722309,-2.86709,0.899906,3.39171,0.0149984
4.06667,-4.1241,-0.707815,-2.86702,0.899905,3.40671,0.0149984
4.08333,-4.12024,-0.693321,-2.86696,0.899904,3.42171,0.0149984
4.1,-4.11639,-0.678827,-2.86689,0.899903,3.43671,0.0149984
4.11667,-4.11253,-0.664333,-2.86683,0.899902,3.4517,0.0149984
4.13333,-4.10868,-0.649838,-2.86676,0.899902,3.4667,0.0149983
4.15,-4.10482,-0.635344,-2.8667,0.899901,3.4817,0.0149983
4.16667,-4.10096,-0.62085,-2.86664,0.8999,3.4967,0.0149983
4.18333,-4.09711,-0.606356,-2.86657,0.899899,3.5117,0.0149983
4.2,-4.09325,-0.591862,-2.86651,0.899898,3.5267,0.0149983
4.21667,-4.08939,-0.577368,-2.86644,0.899897,3.54169,0.0149983
4.23333,-4.08554,-0.562874,-2.86638,0.899896,3.55669,0.0149983
4.25,-4.08168,-0.54838,-2.86631,0.899895,3.57169,0.0149983
4.26667,-4.07783,-0.533886,-2.86625,0.899895,3.58669,0.0149983
4.28333,-4.07397,-0.519392,-2.86619,0.899894,3.60169,0.0149982
4.3,-4.07011,-0.504898,-2.86612,0.899893,3.61669,0.0149982
4.31667,-4.06626,-0.490404,-2.86606,0.899892,3.63168,0.0149982
4.33333,-4.0624,-0.47591,-2.86599,0.899891,3.64668,0.0149982
4.35,-4.05855,-0.461416,-2.86593,0.89989,3.66168,0.0149982
4.36667,-4.05469,-0.446922,-2.86586,0.899889,3.67668,0.0149982
4.38333,-4.05083,-0.432428,-2.8658,0.899888,3.69168,0.0149982
4.4,-4.04698,-0.417934,-2.86574,0.899887,3.70668,0.0149981
4.41667,-4.04312,-0.40344,-2.86567,0.899886,3.72167,0.0149981
4.43333,-4.03926,-0.388946,-2.86561,0.899885,3.73667,0.0149981
4.45,-4.03541,-0.374452,-2.86554,0.899885,3.75167,0.0149981
4.46667,-4.03155,-0.359958,-2.86548,0.899884,3.76667,0.0149981
4.48333,-4.0277,-0.345465,-2.86541,0.899883,3.78167,0.0149981
4.5,-4.02384,-0.330971,-2.86535,0.899882,3.79666,0.014998
4.51667,-4.01998,-0.316477,-2.86529,0.899881,3.81166,0.014998
4.53333,-4.01613,-0.301983,-2.86522,0.89988,3.82666,0.014998
4.55,-4.01227,-0.287489,-2.86516,0.899879,3.84166,0.014998
4.56667,-4.00841,-0.272996,-2.86509,0.899878,3.85666,0.014998
4.58333,-4.00456,-0.258502,-2.86503,0.899877,3.87165,0.014998
4.6,-4.0007,-0.244008,-2.86496,0.899876,3.88665,0.0149979
4.61667,-3.99685,-0.229514,-2.8649,0.899875,3.90165,0.0149979
4.63333,-3.99299,-0.215021,-2.86484,0.899874,3.91665,0.0149979
4.65,-3.98913,-0.200527,-2.86477,0.899873,3.93165,0.0149979
4.66667,-3.98528,-0.186033,-2.86471,0.899872,3.94664,0.0149979
4.68333,-3.98142,-0.17154,-2.86464,0.899871,3.96164,0.0149979
4.7,-3.97757,-0.157046,-2.86458,0.89987,3.97664,0.0149979
4.71667,-3.97371,-0.142552,-2.86451,0.899869,3.99164,0.0149978
4.73333,-3.96985,-0.128059,-2.86445,0.899868,4.00663,0.0149978
4.75,-3.966,-0.113565,-2.86439,0.899867,4.02163,0.0149978
4.76667,-3.96214,-0.0990716,-2.86432,0.899866,4.03663,0.0149978
4.78333,-3.95828,-0.084578,-2.86426,0.899865,4.05163,0.0149978
4.8,-3.95443,-0.0700845,-2.86419,0.899864,4.06663,0.0149978
4.81667,-3.95057,-0.055591,-2.86413,0.899863,4.08162,0.0149978
4.83333,-3.94672,-0.0410974,-2.86406,0.899862,4.09662,0.0149977
4.85,-3.94286,-0.0266039,-2.864,0.899861,4.11162,0.0149977
4.86667,-3.939,-0.0121105,-2.86394,0.89986,4.12662,0.0149977
4.88333,-3.93515,0.00238301,-2.86387,0.899859,4.14161,0.0149977
4.9,-3.93129,0.0168765,-2.86381,0.899858,4.15661,0.0149977
4.91667,-3.92743,0.0313699,-2.86374,0.899857,4.17161,0.0149977
4.93333,-3.92358,0.0458633,-2.86368,0.899856,4.18661,0.0149976
4.95,-3.91972,0.0603567,-2.86361,0.899855,4.2016,0.0149976
4.96667,-3.91587,0.0748501,-2.86355,0.899854,4.2166,0.0149975
4.98333,-3.91201,0.0893435,-2.86349,0.899853,4.2316,0.0149975
5,-3.90816,0.103837,-2.86342,0.899852,4.2466,0.0149975
5.01667,-3.9043,0.11833,-2.86336,0.899851,4.26159,0.0149975
5.03333,-3.90044,0.132823,-2.86329,0.89985,4.27659,0.0149975
5.05,-3.89659,0.147317,-2.86323,0.899849,4.29159,0.0149975
5.06667,-3.89273,0.16181,-2.86316,0.899848,4.30659,0.0149975
5.08333,-3.88888,0.176303,-2.8631,0.899847,4.32158,0.0149974
5.1,-3.88502,0.190797,-2.86304,0.899846,4.33658,0.0149974
5.11667,-3.88116,0.20529,-2.86297,0.899845,4.35158,0.0149974
5.13333,-3.87731,0.219783,-2.86291,0.899843,4.36658,0.0149974
5.15,-3.87345,0.234276,-2.86284,0.899842,4.38157,0.0149974
5.16667,-3.8696,0.248769,-2.86278,0.899841,4.39657,0.0149973
5.18333,-3.86574,0.263263,-2.86271,0.89984,4.41157,0.0149973
5.2,-3.86188,0.277756,-2.86265,0.899839,4.42657,0.0149973
5.21667,-3.85803,0.292249,-2.86259,0.899838,4.44156,0.0149973
5.23333,-3.85417,0.306742,-2.86252,0.899837,4.45656,0.0149973
5.25,-3.85032,0.321235,-2.86246,0.899836,4.47156,0.0149973
5.26667,-3.84646,0.335728,-2.86239,0.899835,4.48656,0.0149973
5.28333,-3.8426,0.350221,-2.86233,0.899834,4.50155,0.0149972
5.3,-3.83875,0.364714,-2.86226,0.899832,4.51655,0.0149972
5.31667,-3.83489,0.379207,-2.8622,0.899831,4.53155,0.0149972
5.33333,-3.83104,0.3937,-2.86214,0.89983,4.54655,0.0149972
5.35,-3.82718,0.408193,-2.86207,0.899829,4.56154,0.0149972
5.36667,-3.82332,0.422686,-2.86201,0.899828,4.57654,0.0149971
5.38333,-3.81947,0.437179,-2.86194,0.899827,4.59154,0.0149971
5.4,-3.81561,0.451672,-2.86188,0.899826,4.60653,0.0149971
5.41667,-3.81176,0.466165,-2.86181,0.899825,4.62153,0.0149971
5.43333,-3.8079,0.480658,-2.86175,0.899823,4.63653,0.0149971
5.45,-3.80404,0.495151,-2.86169,0.899822,4.65152,0.0149971
5.46667,-3.80019,0.509643,-2.86162,0.899821,4.66652,0.0149971
5.48333,-3.79633,0.524136,-2.86156,0.89982,4.68152,0.014997
5.5,-3.79248,0.538629,-2.86149,0.899819,4.69652,0.014997
5.51667,-3.78862,0.553122,-2.86143,0.899818,4.71151,0.014997
5.53333,-3.78477,0.567615,-2.86136,0.899816,4.72651,0.0149969
5.55,-3.78091,0.582107,-2.8613,0.899815,4.74151,0.0149969
5.56667,-3.77705,0.5966,-2.86124,0.899814,4.7565,0.0149969
5.58333,-3.7732,0.611093,-2.86117,0.899813,4.7715,0.0149969
5.6,-3.76934,0.625585,-2.86111,0.899812,4.7865,0.0149969
5.61667,-3.76549,0.640078,-2.86104,0.899811,4.80149,0.0149969
5.63333,-3.76163,0.654571,-2.86098,0.899809,4.81649,0.0149969
5.65,-3.75777,0.669064,-2.86091,0.899808,4.83149,0.0149968
5.66667,-3.75392,0.683556,-2.86085,0.899807,4.84649,0.0149968
5.68333,-3.75006,0.698049,-2.86079,0.899806,4.86148,0.0149968
5.7,-3.74621,0.712541,-2.86072,0.899805,4.87648,0.0149968
5.71667,-3.74235,0.727034,-2.86066,0.899803,4.89148,0.0149968
5.73333,-3.73849,0.741526,-2.86059,0.899802,4.90647,0.0149968
5.75,-3.73464,0.756019,-2.86053,0.899801,4.92147,0.0149967
5.76667,-3.73078,0.770512,-2.86046,0.8998,4.93646,0.0149966
5.78333,-3.72693,0.785004,-2.8604,0.899799,4.95146,0.0149966
5.8,-3.72307,0.799496,-2.86034,0.899797,4.96646,0.0149966
5.81667,-3.71921,0.813989,-2.86027,0.899796,4.98145,0.0149966
5.83333,-3.71536,0.828481,-2.86021,0.899795,4.99645,0.0149966
5.85,-3.7115,0.842974,-2.86014,0.899794,5.01145,0.0149965
5.86667,-3.70765,0.857466,-2.86008,0.899792,5.02644,0.0149965
5.88333,-3.70379,0.871959,-2.86001,0.899791,5.04144,0.0149965
5.9,-3.69994,0.886451,-2.85995,0.89979,5.05644,0.0149965
5.91667,-3.69608,0.900943,-2.85989,0.899789,5.07143,0.0149965
5.93333,-3.69222,0.915436,-2.85982,0.899787,5.08643,0.0149965
5.95,-3.68837,0.929928,-2.85976,0.899786,5.10143,0.0149964
5.96667,-3.68451,0.94442,-2.85969,0.899785,5.11642,0.0149964
5.98333,-3.68066,0.958912,-2.85963,0.899784,5.13142,0.0149964
6,-3.6768,0.973405,-2.85956,0.899782,5.14642,0.0149964
6.01667,-3.67295,0.987897,-2.8595,0.899781,5.16141,0.0149964
6.03333,-3.66909,1.00239,-2.85944,0.89978,5.17641,0.0149964
