seconds,x,z,yaw_radians,speed_mps,distance_m,step_distance_m
4,-4.13949,-0.765684,-2.88156,0.9,3.34684,0.015
4.01667,-4.13564,-0.751188,-2.88156,0.9,3.36184,0.015
4.03333,-4.13178,-0.736692,-2.88156,0.9,3.37684,0.015
4.05,-4.12792,-0.722197,-2.88156,0.9,3.39184,0.015
4.06667,-4.12407,-0.707701,-2.88156,0.9,3.40684,0.015
4.08333,-4.12021,-0.693205,-2.88156,0.9,3.42184,0.015
4.1,-4.11635,-0.67871,-2.88156,0.9,3.43684,0.015
4.11667,-4.1125,-0.664214,-2.88156,0.9,3.45184,0.015
4.13333,-4.10864,-0.649718,-2.88156,0.9,3.46684,0.015
4.15,-4.10478,-0.635222,-2.88156,0.9,3.48184,0.015
4.16667,-4.10093,-0.620727,-2.88156,0.9,3.49684,0.015
4.18333,-4.09707,-0.606231,-2.88156,0.9,3.51184,0.015
4.2,-4.09321,-0.591735,-2.88156,0.9,3.52684,0.015
4.21667,-4.08936,-0.577239,-2.88156,0.9,3.54184,0.015
4.23333,-4.0855,-0.562744,-2.88156,0.9,3.55684,0.015
4.25,-4.08164,-0.548248,-2.88156,0.9,3.57184,0.015
4.26667,-4.07779,-0.533752,-2.88156,0.9,3.58684,0.015
4.28333,-4.07393,-0.519256,-2.88156,0.9,3.60184,0.015
4.3,-4.07007,-0.504761,-2.88156,0.9,3.61684,0.015
4.31667,-4.06622,-0.490265,-2.88156,0.9,3.63184,0.015
4.33333,-4.06236,-0.475769,-2.88156,0.9,3.64684,0.015
4.35,-4.0585,-0.461274,-2.88156,0.9,3.66184,0.015
4.36667,-4.05465,-0.446778,-2.88156,0.9,3.67684,0.015
4.38333,-4.05079,-0.432282,-2.88156,0.9,3.69184,0.015
4.4,-4.04693,-0.417786,-2.88156,0.9,3.70684,0.015
4.41667,-4.04308,-0.403291,-2.88156,0.9,3.72184,0.015
4.43333,-4.03922,-0.388795,-2.88156,0.9,3.73684,0.015
4.45,-4.03536,-0.374299,-2.88156,0.9,3.75184,0.015
4.46667,-4.03151,-0.359803,-2.88156,0.9,3.76684,0.015
4.48333,-4.02765,-0.345308,-2.88156,0.9,3.78184,0.015
4.5,-4.02379,-0.330812,-2.88156,0.9,3.79684,0.015
4.51667,-4.01994,-0.316316,-2.88156,0.9,3.81184,0.015
4.53333,-4.01608,-0.301821,-2.88156,0.9,3.82684,0.015
4.55,-4.01222,-0.287325,-2.88156,0.9,3.84184,0.015
4.56667,-4.00837,-0.272829,-2.88156,0.9,3.85684,0.015
4.58333,-4.00451,-0.258333,-2.88156,0.9,3.87184,0.015
4.6,-4.00065,-0.243838,-2.88156,0.9,3.88684,0.015
4.61667,-3.9968,-0.229342,-2.88156,0.9,3.90184,0.015
4.63333,-3.99294,-0.214846,-2.88156,0.9,3.91684,0.015
4.65,-3.98908,-0.20035,-2.88156,0.9,3.93184,0.015
4.66667,-3.98523,-0.185855,-2.88156,0.9,3.94684,0.015
4.68333,-3.98137,-0.171359,-2.88156,0.9,3.96184,0.015
4.7,-3.97751,-0.156863,-2.88156,0.9,3.97684,0.015
4.71667,-3.97366,-0.142367,-2.88156,0.9,3.99184,0.015
4.73333,-3.9698,-0.127872,-2.88156,0.9,4.00684,0.015
4.75,-3.96594,-0.113376,-2.88156,0.9,4.02184,0.015
4.76667,-3.96209,-0.0988803,-2.88156,0.9,4.03684,0.015
4.78333,-3.95823,-0.0843846,-2.88156,0.9,4.05184,0.015
4.8,-3.95437,-0.0698888,-2.88156,0.9,4.06684,0.015
4.81667,-3.95052,-0.0553931,-2.88156,0.9,4.08184,0.015
4.83333,-3.94666,-0.0408974,-2.88156,0.9,4.09684,0.015
4.85,-3.9428,-0.0264016,-2.88156,0.9,4.11184,0.015
4.86667,-3.93895,-0.0119059,-2.88156,0.9,4.12684,0.015
4.88333,-3.93509,0.00258982,-2.88156,0.9,4.14184,0.015
4.9,-3.93123,0.0170855,-2.88156,0.9,4.15684,0.015
4.91667,-3.92738,0.0315813,-2.88156,0.9,4.17184,0.015
4.93333,-3.92352,0.046077,-2.88156,0.9,4.18684,0.015
4.95,-3.91966,0.0605727,-2.88156,0.9,4.20184,0.015
4.96667,-3.91581,0.0750685,-2.88156,0.9,4.21684,0.015
4.98333,-3.91195,0.0895642,-2.88156,0.9,4.23184,0.015
5,-3.90809,0.10406,-2.88156,0.9,4.24684,0.015
5.01667,-3.90424,0.118556,-2.88156,0.9,4.26184,0.015
5.03333,-3.90038,0.133051,-2.88156,0.9,4.27684,0.015
5.05,-3.89652,0.147547,-2.88156,0.9,4.29184,0.015
5.06667,-3.89267,0.162043,-2.88156,0.9,4.30684,0.015
5.08333,-3.88881,0.176539,-2.88156,0.9,4.32184,0.015
5.1,-3.88495,0.191034,-2.88156,0.9,4.33684,0.015
5.11667,-3.8811,0.20553,-2.88156,0.9,4.35184,0.015
5.13333,-3.87724,0.220026,-2.88156,0.9,4.36684,0.015
5.15,-3.87338,0.234521,-2.88156,0.9,4.38184,0.015
5.16667,-3.86953,0.249017,-2.88156,0.9,4.39684,0.015
5.18333,-3.86567,0.263513,-2.88156,0.9,4.41184,0.015
5.2,-3.86181,0.278009,-2.88156,0.9,4.42684,0.015
5.21667,-3.85796,0.292504,-2.88156,0.9,4.44184,0.015
5.23333,-3.8541,0.307,-2.88156,0.9,4.45684,0.015
5.25,-3.85024,0.321496,-2.88156,0.9,4.47184,0.015
5.26667,-3.84639,0.335992,-2.88156,0.9,4.48684,0.015
5.28333,-3.84253,0.350487,-2.88156,0.9,4.50184,0.015
5.3,-3.83867,0.364983,-2.88156,0.9,4.51684,0.015
5.31667,-3.83482,0.379479,-2.88156,0.9,4.53184,0.015
5.33333,-3.83096,0.393975,-2.88156,0.9,4.54684,0.015
5.35,-3.8271,0.40847,-2.88156,0.9,4.56184,0.015
5.36667,-3.82325,0.422966,-2.88156,0.9,4.57684,0.015
5.38333,-3.81939,0.437462,-2.88156,0.9,4.59184,0.015
5.4,-3.81553,0.451957,-2.88156,0.9,4.60684,0.015
5.41667,-3.81168,0.466453,-2.88156,0.9,4.62184,0.015
5.43333,-3.80782,0.480949,-2.88156,0.9,4.63684,0.015
5.45,-3.80396,0.495445,-2.88156,0.9,4.65184,0.015
5.46667,-3.80011,0.50994,-2.88156,0.9,4.66684,0.015
5.48333,-3.79625,0.524436,-2.88156,0.9,4.68184,0.015
5.5,-3.79239,0.538932,-2.88156,0.9,4.69684,0.015
5.51667,-3.78854,0.553428,-2.88156,0.9,4.71184,0.015
5.53333,-3.78468,0.567923,-2.88156,0.9,4.72684,0.015
5.55,-3.78082,0.582419,-2.88156,0.9,4.74184,0.015
5.56667,-3.77697,0.596915,-2.88156,0.9,4.75684,0.015
5.58333,-3.77311,0.61141,-2.88156,0.9,4.77184,0.015
5.6,-3.76925,0.625906,-2.88156,0.9,4.78684,0.015
5.61667,-3.7654,0.640402,-2.88156,0.9,4.80184,0.015
5.63333,-3.76154,0.654898,-2.88156,0.9,4.81683,0.015
5.65,-3.75768,0.669393,-2.88156,0.9,4.83183,0.015
5.66667,-3.75383,0.683889,-2.88156,0.9,4.84683,0.015
5.68333,-3.74997,0.698385,-2.88156,0.9,4.86183,0.015
5.7,-3.74611,0.712881,-2.88156,0.9,4.87683,0.015
5.71667,-3.74226,0.727376,-2.88156,0.9,4.89183,0.015
5.73333,-3.7384,0.741872,-2.88156,0.9,4.90683,0.015
5.75,-3.73454,0.756368,-2.88156,0.9,4.92183,0.015
5.76667,-3.73069,0.770863,-2.88156,0.9,4.93683,0.015
5.78333,-3.72683,0.785359,-2.88156,0.9,4.95183,0.015
5.8,-3.72297,0.799855,-2.88156,0.9,4.96683,0.015
5.81667,-3.71912,0.814351,-2.88156,0.9,4.98183,0.015
5.83333,-3.71526,0.828846,-2.88156,0.9,4.99683,0.015
5.85,-3.7114,0.843342,-2.88156,0.9,5.01183,0.015
5.86667,-3.70755,0.857838,-2.88156,0.9,5.02683,0.015
5.88333,-3.70369,0.872334,-2.88156,0.9,5.04183,0.015
5.9,-3.69983,0.886829,-2.88156,0.9,5.05683,0.015
5.91667,-3.69598,0.901325,-2.88156,0.9,5.07183,0.015
5.93333,-3.69212,0.915821,-2.88156,0.9,5.08683,0.015
5.95,-3.68826,0.930317,-2.88156,0.9,5.10183,0.015
5.96667,-3.68441,0.944812,-2.88156,0.9,5.11683,0.015
5.98333,-3.68055,0.959308,-2.88156,0.9,5.13183,0.015
6,-3.67669,0.973804,-2.88156,0.9,5.14683,0.015
6.01667,-3.67284,0.988299,-2.88156,0.9,5.16183,0.015
6.03333,-3.66898,1.0028,-2.88156,0.9,5.17683,0.0149999
6.05,-3.66512,1.01729,-2.88156,0.9,5.19183,0.015
6.06667,-3.66127,1.03179,-2.88156,0.9,5.20683,0.015
6.08333,-3.65741,1.04628,-2.88156,0.9,5.22183,0.015
6.1,-3.65355,1.06078,-2.88156,0.9,5.23683,0.015
6.11667,-3.6497,1.07527,-2.88156,0.9,5.25183,0.015
6.13333,-3.64584,1.08977,-2.88156,0.9,5.26683,0.015
6.15,-3.64198,1.10427,-2.88156,0.9,5.28183,0.015
6.16667,-3.63813,1.11876,-2.88156,0.9,5.29683,0.015
6.18333,-3.63427,1.13326,-2.88156,0.9,5.31183,0.015
6.2,-3.63041,1.14775,-2.88156,0.9,5.32683,0.015
6.21667,-3.62656,1.16225,-2.88156,0.9,5.34183,0.015
6.23333,-3.6227,1.17674,-2.88156,0.9,5.35683,0.015
6.25,-3.61884,1.19124,-2.88156,0.9,5.37183,0.015
6.26667,-3.61499,1.20574,-2.88156,0.9,5.38683,0.015
6.28333,-3.61113,1.22023,-2.88156,0.9,5.40183,0.015
6.3,-3.60728,1.23473,-2.88156,0.9,5.41683,0.015
6.31667,-3.60342,1.24922,-2.88156,0.9,5.43183,0.015
6.33333,-3.59961,1.26355,-2.88156,0.878503,5.44665,0.0148209
6.35,-3.59591,1.27743,-2.88156,0.845169,5.46101,0.014364
6.36667,-3.59236,1.29077,-2.88156,0.811836,5.47482,0.0138084
